=========================================================================
Parameter Value(s)
-------------------------------------------------------------------------
"Survey: GOA"
"Common Name: Pacific cod,Pacific cod (adult),Pacific cod (juvenile)"
=========================================================================
"Survey","Year","Cruise Join ID","Haul Join ID","Cruise Number","Vessel Number","Haul Number","Starting Latitude (dd)","Starting Longitude (dd)","Ending Latitude (dd)","Ending Longitude (dd)","Stratum","Stratum INPFC Area","Stratum Min Depth (m)","Stratum Max Depth (m)","Stratum Description","Stratum Regulatory Area Name","Stratum Type","Domain","Density","Gear Performance","Satifactory Gear Performance","Gear Performance Description","Gear Depth","Bottom Depth","Specimen ID","Biostratum","Species Code","Common Name","Scientific Name","Length (mm)","Sex","Weight (gm)","Age (years)","Maturity","Maturity Table","Gonad Weight","Specimen Subsample Method","Specimen Sample Type","Age Determination Method","AKFIN Load Date"
GOA,2009,-638,-5093,200901,159,128,56.41989,-154.3927,56.42083,-154.3645,22,Chirikof,1,100,"Chirikof Bank",CENTRAL GOA,SHELF,,,0,Y,"Good performance",22,29,362,0,21720,Pacific cod,Gadus macrocephalus,200,Female,80,1,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5489,200901,159,160,57.21524,-151.8311,57.22195,-151.8051,31,Kodiak,1,100,"Albatross Banks",CENTRAL GOA,SHELF,,,0,Y,"Good performance",51,58,386,0,21720,Pacific cod,Gadus macrocephalus,140,Female,22,1,,,,6,1,3,29-SEP-21
GOA,2009,-638,-5489,200901,159,160,57.21524,-151.8311,57.22195,-151.8051,31,Kodiak,1,100,"Albatross Banks",CENTRAL GOA,SHELF,,,0,Y,"Good performance",51,58,390,0,21720,Pacific cod,Gadus macrocephalus,240,Female,124,1,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5502,200901,159,174,57.96779,-152.6827,57.97825,-152.6698,30,Kodiak,1,100,"Albatross Shallows",CENTRAL GOA,SHELF,,,5.1,Y,"Net came off bottom",89,96,394,0,21720,Pacific cod,Gadus macrocephalus,770,Female,4318,7,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5502,200901,159,174,57.96779,-152.6827,57.97825,-152.6698,30,Kodiak,1,100,"Albatross Shallows",CENTRAL GOA,SHELF,,,5.1,Y,"Net came off bottom",89,96,404,0,21720,Pacific cod,Gadus macrocephalus,440,Male,920,3,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5503,200901,159,175,58.1065,-152.0657,58.10648,-152.09219,30,Kodiak,1,100,"Albatross Shallows",CENTRAL GOA,SHELF,,,0,Y,"Good performance",65,72,405,0,21720,Pacific cod,Gadus macrocephalus,700,Female,3800,6,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5503,200901,159,175,58.1065,-152.0657,58.10648,-152.09219,30,Kodiak,1,100,"Albatross Shallows",CENTRAL GOA,SHELF,,,0,Y,"Good performance",65,72,411,0,21720,Pacific cod,Gadus macrocephalus,680,Male,3402,6,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5503,200901,159,175,58.1065,-152.0657,58.10648,-152.09219,30,Kodiak,1,100,"Albatross Shallows",CENTRAL GOA,SHELF,,,0,Y,"Good performance",65,72,415,0,21720,Pacific cod,Gadus macrocephalus,660,Male,2682,6,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5506,200901,159,178,58.14738,-151.64709,58.15429,-151.62469,30,Kodiak,1,100,"Albatross Shallows",CENTRAL GOA,SHELF,,,0,Y,"Good performance",93,100,417,0,21720,Pacific cod,Gadus macrocephalus,450,Female,970,3,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5506,200901,159,178,58.14738,-151.64709,58.15429,-151.62469,30,Kodiak,1,100,"Albatross Shallows",CENTRAL GOA,SHELF,,,0,Y,"Good performance",93,100,425,0,21720,Pacific cod,Gadus macrocephalus,530,Male,1436,4,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5509,200901,159,181,57.7272,-150.842,57.73943,-150.8298,31,Kodiak,1,100,"Albatross Banks",CENTRAL GOA,SHELF,,,0,Y,"Good performance",75,82,433,0,21720,Pacific cod,Gadus macrocephalus,580,Female,1976,5,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5509,200901,159,181,57.7272,-150.842,57.73943,-150.8298,31,Kodiak,1,100,"Albatross Banks",CENTRAL GOA,SHELF,,,0,Y,"Good performance",75,82,437,0,21720,Pacific cod,Gadus macrocephalus,200,Female,62,1,,,,6,1,3,29-SEP-21
