Year,SSB,Rec
1960,2.40E+01,2.19E+02
1961,2.27E+01,2.53E+02
1962,2.03E+01,2.90E+02
1963,1.80E+01,3.19E+02
1964,1.65E+01,3.41E+02
1965,1.58E+01,3.56E+02
1966,1.60E+01,3.59E+02
1967,1.68E+01,3.51E+02
1968,1.77E+01,3.37E+02
1969,1.89E+01,3.15E+02
1970,2.10E+01,2.88E+02
1971,2.22E+01,2.62E+02
1972,1.97E+01,2.34E+02
1973,1.64E+01,2.03E+02
1974,1.54E+01,1.83E+02
1975,1.62E+01,1.65E+02
1976,1.25E+01,1.51E+02
1977,8.45E+00,1.37E+02
1978,9.48E+00,1.29E+02
1979,9.52E+01,1.27E+02
1980,4.12E+01,1.26E+02
1981,1.63E+01,1.27E+02
1982,6.30E+01,1.32E+02
1983,3.36E+01,1.43E+02
1984,2.96E+01,1.60E+02
1985,8.34E+00,1.79E+02
1986,2.00E+01,1.98E+02
1987,1.54E+01,2.06E+02
1988,5.20E+00,2.06E+02
1989,5.83E+00,1.99E+02
1990,1.25E+01,1.87E+02
1991,2.02E+01,1.74E+02
1992,7.90E+00,1.60E+02
1993,2.37E+01,1.48E+02
1994,6.40E+00,1.35E+02
1995,5.85E+00,1.23E+02
1996,1.11E+01,1.16E+02
1997,2.07E+01,1.10E+02
1998,8.79E+00,1.06E+02
1999,3.51E+01,1.03E+02
2000,1.62E+01,9.92E+01
2001,1.41E+01,9.60E+01
2002,4.10E+01,9.55E+01
2003,1.51E+01,9.68E+01
2004,7.72E+00,9.91E+01
2005,1.29E+01,1.02E+02
2006,6.49E+00,1.05E+02
2007,9.99E+00,1.08E+02
2008,9.84E+00,1.09E+02
2009,1.19E+01,1.08E+02
2010,2.56E+01,1.06E+02
2011,9.21E+00,1.03E+02
2012,1.15E+01,9.88E+01
2013,3.79E+00,9.50E+01
2014,1.05E+01,9.23E+01
2015,1.70E+01,9.13E+01
2016,7.59E+01,9.11E+01
2017,2.03E+01,9.15E+01
2018,1.55E+02,9.42E+01
2019,6.10E+01,1.01E+02
2020,1.20E+02,1.17E+02
2021,1.74E+01,1.42E+02
