"EM_Scenario","Fast-Logistic","Fast-Gamma-Old","Fast-Gamma-Young","Slow-Logistic","Slow-Gamma-Old","Slow-Gamma-Young"
"2Fleet_Logist_Logist",0.0293,0.0361,0.1348,0.0209,0.0292,0.1289
"2Fleet_Logist_Gamma",0.0308,0.0312,0.0268,0.0243,0.0201,0.024
"1Fleet_Logist_TimeInvar",0.0295,0.032,0.0289,0.0347,0.0266,0.0263
"1Fleet_Gamma_TimeInvar",0.0322,0.0344,0.0421,0.0235,0.0233,0.0371
"1Fleet_Logist_Logist_TimeBlk",0.0287,0.033,0.028,0.0328,0.025,0.024
"1Fleet_Logist_Gamma_TimeBlk",0.0301,0.0326,0.0282,0.0261,0.0232,0.0252
"1Fleet_Logist_RandomWalk",0.028,0.0321,0.0274,0.0263,0.0232,0.024
"1Fleet_Gamma_RandomWalk",0.0324,0.0324,0.0359,0.0257,0.0244,0.0371
"1Fleet_Logist_SemiPar",0.0338,0.0377,0.0353,0.0249,0.0272,0.0303
"1Fleet_Gamma_SemiPar",0.0347,0.0404,0.0371,0.0261,0.0293,0.0304
