"EM_Scenario","Fast-Logistic","Fast-Gamma-Old","Fast-Gamma-Young","Slow-Logistic","Slow-Gamma-Old","Slow-Gamma-Young"
"2Fleet_Logist_Logist",0.0239,0.034,0.1427,0.0186,0.0286,0.1312
"2Fleet_Logist_Gamma",0.0308,0.0279,0.0259,0.0256,0.0203,0.0225
"1Fleet_Logist_TimeInvar",0.0861,0.0627,0.0648,0.0831,0.0604,0.0428
"1Fleet_Gamma_TimeInvar",0.0499,0.0399,0.0737,0.0489,0.0387,0.0624
"1Fleet_Logist_Logist_TimeBlk",0.0514,0.0438,0.039,0.0618,0.0486,0.0307
"1Fleet_Logist_Gamma_TimeBlk",0.0332,0.0306,0.0324,0.047,0.0369,0.0304
"1Fleet_Logist_RandomWalk",0.0275,0.03,0.0343,0.0269,0.0265,0.0303
"1Fleet_Gamma_RandomWalk",0.0316,0.0319,0.0332,0.0294,0.0304,0.0346
"1Fleet_Logist_SemiPar",0.0317,0.0323,0.035,0.026,0.0259,0.0294
"1Fleet_Gamma_SemiPar",0.0312,0.0323,0.0363,0.0258,0.0261,0.0303
