"EM_Scenario","Fast-Logistic","Fast-Gamma-Old","Fast-Gamma-Young","Slow-Logistic","Slow-Gamma-Old","Slow-Gamma-Young"
"2Fleet_Logist_Logist",0.0171,0.031,0.1456,0.0154,0.033,0.1329
"2Fleet_Logist_Gamma",0.0273,0.0207,0.0235,0.0196,0.018,0.0203
"1Fleet_Logist_TimeInvar",0.184,0.1526,0.0931,0.131,0.0998,0.1061
"1Fleet_Gamma_TimeInvar",0.1435,0.1183,0.1115,0.1011,0.0728,0.1552
"1Fleet_Logist_Logist_TimeBlk",0.049,0.0318,0.1077,0.0506,0.0427,0.0534
"1Fleet_Logist_Gamma_TimeBlk",0.044,0.0371,0.0301,0.0489,0.0425,0.0667
"1Fleet_Logist_RandomWalk",0.0316,0.0276,0.1113,0.039,0.0245,0.0753
"1Fleet_Gamma_RandomWalk",0.0381,0.0462,0.0296,0.0421,0.0357,0.0309
"1Fleet_Logist_SemiPar",0.032,0.0302,0.0359,0.0322,0.0263,0.0316
"1Fleet_Gamma_SemiPar",0.0318,0.0299,0.0372,0.0327,0.0264,0.0327
